"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"14433"	"NUCB2"	-0.901263192308498	5.08193693912588	12.5482537171617	0.000396576734827787	0.00556141028032294
"25641"	"CD40LG"	-0.993611913562079	3.71441397509803	12.3877511551543	0.000432159422006107	0.00600508746542157
"744"	"CPA3"	-1.91620541025279	0.0791764221091977	12.2802289068049	0.000457782217647792	0.00630993376659195
"19868"	"FST"	-1.03990100912951	2.50470297752644	12.1253886190485	0.000497399647353035	0.00676078627815866
"5447"	"KLRC1"	-1.9136856139238	2.61629460413168	11.9106634530362	0.000558135180604951	0.00743872578742066
"9179"	"PKIB"	-1.14353091474615	4.41480682166297	11.872734527542	0.00056961716008349	0.00755500940010057
"7200"	"C3"	-0.836576588347088	5.39541329980432	11.8677998993018	0.000571128418088117	0.00756772771395096
"7881"	"ADRB2"	-0.877828384787639	3.79367310294581	11.58146148472	0.000666125679863572	0.00861726936521983
"7600"	"GZMM"	-1.3885117662889	2.03196950876387	11.3527689361546	0.000753355664249099	0.00953948794443336
"10436"	"DAPK2"	-0.970196045582004	4.12299345964488	11.0196129646126	0.000901528924431124	0.0110679639727875
"9957"	"LOC100336282"	-0.700855688297386	8.49251068185376	10.9970009555041	0.000912594353500875	0.0111628163497027
"2007"	"CAMK2N1"	-1.41999152126668	1.39766499399335	10.9880172134487	0.000917028666499534	0.0111908574564001
"15402"	"LOC515150"	-1.82701193842182	3.39823170878738	10.9800869748477	0.000920961076255246	0.0112160779606872
"12129"	"LPAR6"	-0.627723709384557	5.37191195811648	10.9268964081333	0.000947781358772537	0.0114814786883665
"11124"	"CRIM1"	-0.716334580521437	4.85422592168979	10.783390178105	0.0010241493420755	0.0122871016950756
"938"	"TRPM2"	-0.708078307275761	5.6758966768809	10.584439585208	0.00114043461693154	0.0134583072235823
"5706"	"PDGFB"	-0.837010082699017	3.44249862871495	10.5379087385096	0.00116950675693317	0.0137304302285702
"23376"	"STAG3"	-0.792867789132569	4.31270570777719	10.4653153991899	0.00121636778334652	0.0141352459708487
"6301"	"HOPX"	-0.942467005101059	5.64304890273691	10.3459465361441	0.00129759311478299	0.0148276257428204
"19996"	"FAM105A"	-0.55939711010829	5.68447350986973	10.3157932216285	0.00131896593398907	0.0150217392033119
"26168"	"EDA"	-1.18680541733277	3.10546333007907	10.0409067465208	0.00153101822429962	0.0170818246670433
"1540"	"ICOS"	-0.670043674111196	4.4341135927505	9.9673591235422	0.00159339877597699	0.0176913749024804
"6309"	"IGFBP7"	-1.45414273184733	0.175533282504463	9.87885726419137	0.00167188739462067	0.0184581218321498
"2187"	"SLAMF7"	-0.687055769613298	5.25812020213953	9.8709510474494	0.00167908693039224	0.0185226811862352
"18540"	"TP53I13"	-1.29108023940127	1.60233194677351	9.77586635660703	0.0017681738536919	0.0192987355812717
"25023"	"CD6"	-0.579538342475638	6.03345929076491	9.77484494102214	0.00176915640391776	0.0192987355812717
"17877"	"KLK1"	-1.32156269582119	0.0638583318749705	9.74484560356044	0.00179826235691996	0.0195694936871806
"21103"	"DNASE1L3"	-1.39517607769636	0.0028470545666278	9.65866005866431	0.00188461032768035	0.0203796733224535
"4195"	"SVOPL"	-1.40069368234078	0.822818230776789	9.62226823463371	0.00192232168417277	0.0207057621028704
"21117"	"ARHGEF3"	-0.643926373441311	6.32411123359789	9.58561044394104	0.00196108226371457	0.0210337588579532
"1746"	"B3GNT7"	-1.36206626023184	0.978282234584033	9.54514944364474	0.00200478502746816	0.0214255535579885
"17087"	"MT1E"	-1.51280246629405	-0.146163069116621	9.48596053734713	0.00207050184317991	0.0220419158923139
"4136"	"MEST"	-1.02251539007821	2.10015372742945	9.42069135575338	0.00214550616106872	0.0227168314627532
"26604"	"XG"	-0.75994766337584	6.5141867274735	9.24818997469653	0.00235728303807707	0.0246919991626101
"1942"	"IFNLR1"	-1.2991047558805	0.345207797439398	9.15729556358332	0.00247728413735306	0.0257459054407827
"25024"	"CD5"	-0.604699118111482	7.32862382771584	9.07240597678304	0.00259495418729848	0.026853071994091
"16614"	"SGSM1"	-1.06084285405779	2.27179915633129	8.96325379143234	0.00275463856942431	0.0282283493191343
"23683"	"CRTAC1"	-1.71677555603745	1.34140945086131	8.95644035639758	0.00276493105056357	0.028312645981892
"5448"	"NKG2C"	-2.01984505958271	0.956818029456294	8.92077222867493	0.00281945270669405	0.0288063546117936
"26580"	"ARHGAP6"	-1.04291358730846	2.06081390771018	8.90112218018823	0.00284995456940657	0.0290746296019654
"24297"	"HGSNAT"	-0.669677824720088	5.53433079773619	8.88632535994161	0.00287314401244107	0.0292676179289629
"21238"	"DAG1"	-0.675409450751347	4.08968308042433	8.74652875910488	0.00310191946940738	0.0311350905863374
"2631"	"PTGFRN"	-0.797289864487919	3.76942250886134	8.74378525788772	0.0031065897690406	0.031159140867954
"5563"	"VAMP1"	-0.636420716468686	4.32554100264088	8.69975872868419	0.00318252171879713	0.0318043253604956
"24120"	"CENPU"	-0.76240470168528	2.88731577399444	8.63454294715216	0.00329847983431267	0.0328195150398822
"1819"	"FABP3"	-0.63605944810048	4.60697235063177	8.61967514651439	0.00332551148061819	0.0330404878868382
"22615"	"RAB27B"	-0.834859262394461	3.27060958846321	8.60456245180099	0.00335321917879602	0.0332675278556729
"1144"	"LOC101905824"	-1.03989943907263	2.27141976227209	8.5658054016771	0.00342535411147014	0.0338850373149837
"21652"	"C23H6orf132"	-1.46316095128762	-0.278144244555721	8.52190075212924	0.00350897806427079	0.0345874161572476
"765"	"CHST2"	-0.705500518399288	4.77513208849595	8.50926631813478	0.00353342498148151	0.0348033469958866
"20761"	"TMEM179"	-0.83225075329405	4.48070153745309	8.50397773725347	0.0035437094370604	0.0348795711186527
"12172"	"CKAP2"	-0.545139305355412	5.42470706637043	8.43111743035405	0.00368853603743215	0.0360319320036217
"8350"	"ACER2"	-1.04197896788481	2.10620732297433	8.4305357702974	0.00368971612298965	0.0360319320036217
"14996"	"CHST1"	-0.722722618408718	5.25715175913925	8.39091493928188	0.00377101044372122	0.0366689950954041
"2345"	"SYT11"	-1.00822939956931	4.09392639893975	8.35446087247316	0.00384741605004427	0.0372533196478138
"14813"	"FOLR2"	-1.86446441994384	0.118737732491488	8.3053042142954	0.00395294606372375	0.038140361985267
"8346"	"MLLT3"	-0.612768931683573	4.31489617999116	8.29097353061677	0.00398426232146026	0.0383640365492556
"24754"	"SYTL2"	-0.700361110064885	5.72895221084819	8.28813541195461	0.00399049423163746	0.038394495412686
"5565"	"CD27"	-0.626697816807486	7.31669085600055	8.1769513947789	0.00424260030617675	0.0404227168254017
"10050"	"LOC100295747"	-1.05908992253438	1.12549220062579	8.15101425415515	0.0043037083950701	0.040976448033951
"7090"	"S1PR5"	-1.03346791407429	4.19084932166561	8.14855385286753	0.00430955144872849	0.0410035863882146
"17767"	"DBP"	-0.614989913805739	5.03718262530796	8.14605321914273	0.00431549832296135	0.0410316742004812
"4285"	"LOC509513"	-0.514571024341023	5.38739725283871	8.14330104900161	0.00432205304507006	0.0410654984538869
"12801"	"MRC1"	-0.813377153897514	2.93131279787338	8.13990807056885	0.00433014790359072	0.041085426888571
"9397"	"ARHGAP18"	-0.777473762078118	4.58592897869541	8.11171756435155	0.0043980036048381	0.0416427418036536
"6433"	"CCNG2"	-0.487566716715674	5.18409818520854	8.07918340221048	0.00447766183188502	0.0422219165579192
"6367"	"JCHAIN"	-0.791401692380427	6.94384586909858	8.01755578792539	0.00463260501034835	0.0433843617544653
"6604"	"CLNK"	-1.06647011773582	2.08570579902508	7.98256493966576	0.00472299785473541	0.0440802408772002
"2984"	"IL23R"	-0.999767257416771	2.38239410097638	7.92578824588667	0.00487351084734762	0.0452691336403456
"22758"	"TMEM204"	-0.595911394084819	5.65235234918367	7.8293807667627	0.00514037071739978	0.0473017862302314
"25398"	"IFITM10"	-0.787470512499778	4.50320466878287	7.82601443352374	0.00514995340392145	0.0473236160879462
"21675"	"KLHDC3"	-0.507732088673313	5.9782715657141	7.79637730063219	0.00523510897085949	0.0479133119637581
"5457"	"OLR1"	-0.766768250361583	4.05750163496419	7.79269719419102	0.00524578262435156	0.0479789504247267
"6670"	"MGAT4B"	-0.54803453401677	6.46458475935369	7.77796136197602	0.00528874465015406	0.0482581113320852
"5742"	"TEF"	-0.600106129278618	4.65946354189552	7.75004083461355	0.00537113267325177	0.0488644679656192
"17066"	"TOX3"	-1.303687168048	1.52242325910908	7.74883063589257	0.00537473317590014	0.0488647772017305
"11413"	"CEP68"	-0.744733096419276	6.03890834297872	7.72076797492599	0.0054589170144478	0.0494987571243873
