"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"9083"	"FAM135A"	1.8533182039286	4.89435416955952	31.4360469754675	2.0611849278667e-08	4.03992245861873e-06
"22854"	"MEFV"	2.149196275124	5.07039760316871	31.3175147039681	2.19094135984572e-08	4.23376274043426e-06
"6488"	"KLHL8"	2.06414035652789	7.29832837509602	31.0060814892865	2.57221207864979e-08	4.90149301653822e-06
"15804"	"ISG15"	3.81572678867857	6.39310648659535	30.8791158132686	2.74611062195164e-08	5.15781284208912e-06
"22146"	"E2F3"	2.34305652118764	4.66325542012442	30.8539795479572	2.78191071657868e-08	5.15781284208912e-06
"21637"	"TREM1"	2.26719028441096	5.98368452533908	30.4902036864475	3.35556679374401e-08	6.00419026047222e-06
"12686"	"IL15RA"	3.02177452910361	3.92858201198368	30.4876367394416	3.36000974015302e-08	6.00419026047222e-06
"25473"	"LONRF3"	1.7753088592041	6.05266468802871	30.4820506891057	3.36969861557114e-08	6.00419026047222e-06
"6479"	"WDFY3"	1.84807800910989	6.67075713825519	30.418106887409	3.4826218957404e-08	6.12584261661003e-06
"1823"	"SERINC2"	2.734050952972	4.59848671131523	30.370456299074	3.56923009003409e-08	6.1987135234516e-06
"445"	"IL1RAP"	1.45272963078542	4.29536926767418	30.3307466624137	3.64305120189829e-08	6.24783281125557e-06
"9043"	"MEGF9"	3.03672740044358	5.86394755264589	30.2580226926683	3.78223545707209e-08	6.32252991089854e-06
"15316"	"CHI3L1"	2.67277496817033	7.55038067146602	30.2485199139909	3.8008118142511e-08	6.32252991089854e-06
"14798"	"LOC618664"	3.3154106179321	5.5007301854876	30.2362898727829	3.82485410061647e-08	6.32252991089854e-06
"5775"	"NFAM1"	1.78776933819739	6.63688541490579	30.134700921841	4.03054272767234e-08	6.58321978853148e-06
"23573"	"ANKRD22"	2.60024327072387	4.00172334271981	30.0789126855637	4.14817470029358e-08	6.69564198682681e-06
"16419"	"LOC527744"	1.98661893285644	5.43042121951319	29.9755533705132	4.37527773310742e-08	6.98009424398068e-06
"24833"	"PTPN5"	3.26714533268024	4.05090266163833	29.9530832511783	4.42627496926887e-08	6.98028650326079e-06
"6600"	"SLC2A9"	2.06266374603504	7.4700537161656	29.8524259650592	4.66213159352182e-08	7.23013624418588e-06
"18142"	"LOC107131323"	2.02557080895765	6.86359004936459	29.8408284937012	4.69010295723428e-08	7.23013624418588e-06
"17919"	"LOC100300478"	2.14718497295778	7.77157809894723	29.471298703209	5.67509268198457e-08	8.65136351075871e-06
"16704"	"LIMK2"	2.3257335196256	5.82138779871161	29.3781314728431	5.95458089249792e-08	8.83004839203616e-06
"24784"	"GAB2"	1.76671103126321	7.59113237814255	29.3738309916456	5.96780961001712e-08	8.83004839203616e-06
"3395"	"SAG"	2.01952866953033	3.02730680986227	29.368132974294	5.98538265640935e-08	8.83004839203616e-06
"9612"	"SOD2"	2.60507608301138	8.37311698191027	29.2621391762647	6.32189276457874e-08	9.16790913461316e-06
"11655"	"RSAD2"	2.59975936758293	5.92320530274953	29.2541408887481	6.34804203927296e-08	9.16790913461316e-06
"7976"	"ADAM19"	1.90395549890231	8.85469637430772	29.1734741606438	6.61790562107214e-08	9.45809011678226e-06
"23452"	"LOC101908535"	2.16916899267778	3.5251107090544	28.7759753628973	8.12527994730299e-08	1.14926640079378e-05
"9451"	"SGK1"	1.82350699663669	7.29685127770508	28.7476348233	8.2450552810948e-08	1.15430773935327e-05
"21228"	"UBA7"	2.23369221127752	6.71996553971773	28.6053577345692	8.87363192195574e-08	1.22975989867912e-05
"3568"	"HEPACAM2"	1.93905103268853	2.40425482285814	28.5041589985088	9.34974340768349e-08	1.27442329629185e-05
"12225"	"ALOX5AP"	2.73552911011495	6.27228035552234	28.4975552254031	9.38168753101144e-08	1.27442329629185e-05
"19751"	"NAIP"	2.13096252944703	9.36308080049694	28.4368891679095	9.68030995463698e-08	1.30209659389823e-05
"1108"	"SLC40A1"	2.14883685466653	7.35439304632208	28.4054319228891	9.838886173497e-08	1.31057784757649e-05
"9505"	"STX11"	2.30291672022736	5.99461670188113	28.3174845706551	1.02961783140386e-07	1.35830352373663e-05
"4177"	"LOC100298868"	1.68785876442347	7.94121262116285	28.1922615802946	1.0984285269804e-07	1.42213547886571e-05
"2003"	"CDA"	2.13127447260401	3.37584458853883	28.1917226675346	1.09873440787001e-07	1.42213547886571e-05
"23581"	"IFIT2"	2.7746778198607	8.53385556245998	28.168236894724	1.11214791686808e-07	1.42604387097478e-05
"17107"	"CPNE2"	2.70970063152706	2.61366059919089	28.1097945199392	1.14624289796706e-07	1.45615301482482e-05
"22090"	"HIST1H1C"	2.23825460318132	5.48456282091432	28.0804786224271	1.16373816097535e-07	1.46481537326438e-05
"9227"	"MARCKS"	2.04250393918389	7.34703976650687	28.0375881514461	1.18981781294146e-07	1.48402730850517e-05
"2138"	"NOS1AP"	2.17860462247185	2.60360286678665	27.7588044766867	1.37421363616163e-07	1.69857757550789e-05
"8866"	"NFIL3"	2.02884583104605	6.01988678781334	27.704999697698	1.4129705471885e-07	1.73088892030591e-05
"17914"	"LOC506364"	2.25289203751469	5.94984031237795	27.5474170477855	1.53289943440027e-07	1.8611840920329e-05
"16651"	"KREMEN1"	2.13466680347041	3.71854684987649	27.5105942003343	1.56236339729194e-07	1.88031805358293e-05
"889"	"LOC101907799"	3.56186957651787	4.48310656616025	27.4687581023072	1.59652809799915e-07	1.90472743517811e-05
"3964"	"STEAP4"	2.1412044002482	8.37470538322599	27.4136865308285	1.64264550382961e-07	1.92202693162303e-05
"17924"	"LOC107131224"	1.87940693454319	7.92087857311832	27.4060014073172	1.64918638005215e-07	1.92202693162303e-05
"6404"	"PARM1"	2.55612267677501	3.42042193012113	27.4014701103562	1.65305523273701e-07	1.92202693162303e-05
"26423"	"GK"	1.8826534993608	5.68513540985787	27.3792207827667	1.67218425052358e-07	1.92793007707425e-05
"22840"	"MMP25"	1.75308343010304	7.83960104080772	27.3564297608889	1.6920090362486e-07	1.93453033144424e-05
"23583"	"LOC100139670"	2.19609656454616	9.77347901403669	27.2754854408248	1.76434184552189e-07	2.00055951409589e-05
"21860"	"LST1"	2.4649741887266	7.42791064502755	27.2439970738895	1.79331038291392e-07	2.01673921750647e-05
"16533"	"OAS2"	3.82784239474015	5.55982599263143	27.1870377168737	1.84692807891555e-07	2.06015067013995e-05
"18119"	"LOC619159"	2.32415276990742	5.04578827593951	27.0795410891809	1.95253468639177e-07	2.16038515300767e-05
"18650"	"CAMKK1"	2.02357471503201	3.99336798704831	27.0252298823934	2.00817124397965e-07	2.18603605859472e-05
"12268"	"ATP8A2"	1.77813350675695	5.92017074071272	27.0183590695501	2.0153220205022e-07	2.18603605859472e-05
"17455"	"RYR1"	2.19678916822018	2.59228233905082	27.0089292398922	2.02517765215271e-07	2.18603605859472e-05
"11449"	"MXD1"	1.71649534600567	9.10963872322683	26.9883376543402	2.04686728840788e-07	2.18603605859472e-05
"19483"	"SOCS3"	1.46305308445597	7.38504913904155	26.9803120697477	2.05538375771661e-07	2.18603605859472e-05
"16536"	"OAS1Z"	2.57999030744077	6.09188024453951	26.7920713166887	2.26565002496355e-07	2.38877245876796e-05
"12682"	"PFKFB3"	1.79781304925827	8.36680733675511	26.7654666607104	2.29705800900162e-07	2.38877245876796e-05
"15192"	"UBE2L6"	2.19477045687848	6.23771948275115	26.7644760212463	2.29823589327529e-07	2.38877245876796e-05
"9844"	"LOC101903546"	1.98748277356726	4.87496382257272	26.7046255393736	2.37053364911696e-07	2.4453926064575e-05
"1022"	"ETS2"	2.63790988147874	5.45083074075135	26.6198289693815	2.47688577076711e-07	2.5360352817108e-05
"5987"	"ALPK1"	2.6008219957657	6.50280280346274	26.5652436288092	2.54786395297265e-07	2.58938469887294e-05
"12707"	"CREM"	1.7525780335262	6.45036621662938	26.503634155842	2.63042799542231e-07	2.65363765420545e-05
"13211"	"FOXS1"	2.20238241669061	3.66934454307341	26.4553941305184	2.69694313650631e-07	2.69572754759284e-05
"4610"	"NFE2"	1.83058461806539	8.89018577977815	26.4329668332978	2.72843827878456e-07	2.69572754759284e-05
"2665"	"BCL2L15"	2.90480414988786	6.91670616378527	26.4310874389484	2.73109423553502e-07	2.69572754759284e-05
"5011"	"STAT2"	1.74938428768857	7.98556486644356	26.3761101903218	2.80994531421106e-07	2.75374640792684e-05
"16359"	"GLT1D1"	2.16319068248149	2.61431076334303	26.3611919330049	2.83173271712484e-07	2.75541651623779e-05
"1797"	"MARCKSL1"	1.74738652486236	7.06308901854866	26.2430585617885	3.01034919437235e-07	2.90859091174568e-05
"9088"	"OGFRL1"	1.43274778589064	6.51145171164056	26.0996197996577	3.24247857907934e-07	3.11096546188591e-05
"4696"	"ACVR1B"	1.496146094918	5.93961397027621	26.0696665672995	3.29317267713996e-07	3.13766174516391e-05
"2428"	"S100A8"	3.00497517584909	9.37454484249206	25.8205860399702	3.74670982778965e-07	3.52962381950379e-05
"13775"	"LOC101905910"	1.31417537080213	4.89722282963688	25.8157990218346	3.7560136854778e-07	3.52962381950379e-05
"7630"	"SBNO2"	1.50424264491489	8.21278394763375	25.7467943631769	3.89273051033068e-07	3.6332151429753e-05
"17083"	"SLC6A2"	3.2885354903862	1.99111124792555	25.7175861688438	3.95209222748668e-07	3.6636963081836e-05
"10719"	"ARG2"	2.04652262856104	5.47976955046136	25.699452239265	3.98940272632499e-07	3.67346345001201e-05
"15930"	"MR1"	1.95812312334821	5.40321811380515	25.6708699727335	4.04892886561917e-07	3.70342026908633e-05
"25192"	"LOC100336747"	1.355944455518	5.63302735078612	25.5720530142307	4.26167307621894e-07	3.87219566925324e-05
"16151"	"TMEM154"	1.66835101485307	7.81824429098549	25.5467240156812	4.31798564017014e-07	3.89755019625884e-05
"22168"	"ATXN1"	1.31652400137139	6.36987646503285	25.5312043024893	4.35285770743337e-07	3.90334691150234e-05
"14269"	"IL18"	2.33887217640244	5.97692022607734	25.4901201373456	4.44654097277522e-07	3.92798158464187e-05
"1961"	"LOC104971364"	2.89701070250493	2.68252095769258	25.4824472914116	4.46425989838523e-07	3.92798158464187e-05
"5281"	"CYTH4"	1.34142440591961	7.86093127049195	25.4816011911414	4.46621812831e-07	3.92798158464187e-05
"8613"	"TDRD7"	1.42163393286606	6.22288332478046	25.4128271565006	4.6283040431816e-07	4.03352232839829e-05
"2864"	"LOC513659"	3.08468482052198	6.24446453950192	25.4021165231364	4.65407215789903e-07	4.03352232839829e-05
"15052"	"LOC104974328"	2.79905393158701	1.85462197646732	25.3937018996399	4.67441727562193e-07	4.03352232839829e-05
"5269"	"CSF2RB"	1.56216813548653	6.60628944679303	25.3017034068031	4.90275584146674e-07	4.20411313405773e-05
"18028"	"LOC101904080"	1.8052987888824	4.50990669417735	25.208503475431	5.14548259201226e-07	4.38484603493219e-05
"2429"	"S100A12"	2.56550142111779	10.5600447550126	25.1710782128455	5.24630937918879e-07	4.44317065941174e-05
"16945"	"CRISPLD2"	1.75382979330537	7.1895116059257	25.1259223532038	5.37060352837998e-07	4.52053254045235e-05
"11479"	"FOSL2"	1.58660697481851	7.41867945695999	25.0658364507801	5.54058366941611e-07	4.63517121612128e-05
"7514"	"NLRP3"	1.51303714202763	6.15885666241692	24.928670158843	5.94910906788158e-07	4.94677432795972e-05
"461"	"LOC100847171"	2.25852053307585	4.35761017150152	24.9039721919177	6.02581375571282e-07	4.97355611524959e-05
"2933"	"IFI44"	2.055894969472	5.89165489433303	24.8835629256398	6.08994670987305e-07	4.97355611524959e-05
"17081"	"LPCAT2"	2.20217812217723	6.85428876909385	24.8835243059971	6.09006871255052e-07	4.97355611524959e-05
"237"	"HHLA2"	6.73219211345524	3.50183129598227	24.7813980318992	6.42141984095344e-07	5.21312900697522e-05
"11431"	"PLEK"	1.79967093469911	6.8669595739308	24.7684790041856	6.46460404096984e-07	5.2173157318886e-05
"3567"	"SAMD9"	1.96034840514695	9.5461882650871	24.6294248478102	6.94826440304107e-07	5.57486477249845e-05
"16894"	"NUDT7"	1.75653577291001	7.05109319543103	24.5821445668311	7.12084987280944e-07	5.68011978226427e-05
"24187"	"PPP1R3B"	1.51760389269258	5.75246295145291	24.5384101116744	7.2843168727539e-07	5.76879993638033e-05
"22519"	"RAB31"	1.45008337283659	7.1861613710505	24.5300167689902	7.31611653739196e-07	5.76879993638033e-05
"12337"	"LOC504806"	2.00144030838367	7.01211053680201	24.3640997756215	7.97409506168056e-07	6.25169052835756e-05
"2334"	"SEMA4A"	1.94066064461954	6.6029602812536	24.2966421805264	8.25828978356318e-07	6.43771226309584e-05
"16605"	"SELPLG"	1.4798694951414	8.52349914413628	24.2791854760897	8.33347375121397e-07	6.45961920150597e-05
"11106"	"TGFA"	1.62243831864091	5.13165683929996	24.233533823096	8.53335057602102e-07	6.57739156758474e-05
"19175"	"DHX58"	1.50840039516566	6.10124963614662	24.2191867526191	8.59715384488471e-07	6.58955032133062e-05
"711"	"MED12L"	2.02198166945123	4.31101381796379	24.1925279419581	8.71698202418986e-07	6.64427740954916e-05
"11316"	"IL1B"	1.28169628451173	7.9640918202156	24.1703212287733	8.81807621579106e-07	6.66814310799162e-05
"16305"	"TMEM144"	1.9861216713125	4.02732319148554	24.1643421139264	8.84549595958072e-07	6.66814310799162e-05
"9036"	"TLR4"	1.69095898563365	6.25520477242686	24.1477368235985	8.92209577231771e-07	6.68913409815295e-05
"16534"	"OAS1Y"	2.77149286689225	5.35044815015029	24.0847510122962	9.21874393228343e-07	6.87397645385482e-05
"20876"	"MYD88"	1.55222115171951	8.15836194694853	23.9724393650026	9.77246319490636e-07	7.24747000184407e-05
"6545"	"SH3BP2"	1.77627523168514	6.7071893319502	23.9307599232086	9.98633300059313e-07	7.36626283699665e-05
"6373"	"DCK"	1.55239428153593	5.54345978124237	23.9076676497694	1.01068406608116e-06	7.3787386234082e-05
"20197"	"ABHD2"	1.73142892583643	7.22646414466711	23.9069121064918	1.01108080262445e-06	7.3787386234082e-05
"19583"	"CD300LF"	1.68200259430358	5.95436514041739	23.8962654282188	1.01668801899025e-06	7.38040191563293e-05
"18113"	"LOC100336589"	2.53955189213386	5.853129078561	23.8662045637423	1.03268887814513e-06	7.43406100470167e-05
"8123"	"SLCO4C1"	2.07146845901984	3.92061983712167	23.8620563167897	1.03491665590235e-06	7.43406100470167e-05
"25446"	"IFITM3"	2.14967217930175	9.48436127641052	23.8475056230714	1.04276914280006e-06	7.45145449959213e-05
"13218"	"HCK"	1.55333727173631	8.16484811652253	23.8332634025664	1.05051301938024e-06	7.46789566108648e-05
"13035"	"LOC104973826"	1.79758285689463	7.1210751908787	23.6780618319372	1.13873254656916e-06	8.05330440150974e-05
"23645"	"LOC101903992"	1.80796548628641	4.28257589726606	23.6532973759074	1.15348096195291e-06	8.115773742561e-05
"10949"	"DUSP2"	1.49376746997034	7.87472115986157	23.6423555045123	1.16005824272549e-06	8.12040769907846e-05
"6128"	"HERC6"	1.54839283387027	7.22980220865294	23.6071760880199	1.1814609313688e-06	8.19241169221499e-05
"22151"	"RNF144B"	1.364207784696	6.78636120986424	23.6058314244216	1.18228681855581e-06	8.19241169221499e-05
"17727"	"DHX34"	1.08913660007308	5.25166747851566	23.5692853921387	1.20495633012067e-06	8.30753811520379e-05
"21402"	"LOC101907298"	1.81621846396039	2.8267499522458	23.5442112671343	1.22076147120516e-06	8.36283429699599e-05
"18664"	"XAF1"	1.68150536378665	6.99189269338775	23.5340287169732	1.22723911501281e-06	8.36283429699599e-05
"17057"	"NOD2"	1.49556379477319	4.83219382562537	23.5277308168608	1.23126277550524e-06	8.36283429699599e-05
"1777"	"LOC107131740"	2.43388751349317	3.26315013614674	23.5022819621951	1.24765697416153e-06	8.43123196580158e-05
"4231"	"KIAA1147"	1.78740138636637	6.28062820303034	23.4931033638378	1.25362341182472e-06	8.43123196580158e-05
